@relation 'final_property_listings_WEKA-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 6 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-I1,5-6,8'

@attribute Location {klcc,'damansara heights',dutamas,'bukit jalil','taman tun dr ismail','sri petaling','bukit tunku (kenny hills)','mont kiara','desa parkcity','bangsar south','ampang hilir',kepong,'jalan klang lama (old klang road)','sungai besi','kl city','kl sentral','taman melawati',setapak,'city centre','country heights damansara','taman desa',sentul,bangsar,segambut,'wangsa maju','batu caves',ampang,'sri hartamas',cheras,setiawangsa,oug,'bukit bintang','jalan sultan ismail','jalan kuching','bandar menjalara',seputeh,'sunway spk','kl eco city',pantai,'kuchai lama','jalan ipoh',brickfields,'desa pandan','desa petaling','pandan perdana','bandar damai perdana',keramat,'salak selatan',titiwangsa}
@attribute Price numeric
@attribute 'Rooms Num' numeric
@attribute Bathrooms numeric
@attribute 'Main Property Type' {'Serviced Residence',Bungalow,Condominium,'Semi-detached House','Terrace/Link House',Apartment,Townhouse,Flat,'Residential Land','Cluster House'}
@attribute 'Size Type' {Built-up,'Land area'}
@attribute 'Size Num' numeric
@attribute Furnishing {'Fully Furnished','Partly Furnished',Unfurnished,Unknown}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
pantai,498000,3,2,Condominium,Built-up,1053,'Partly Furnished',cluster2
cheras,1700000,5,4,'Terrace/Link House','Land area',4100,Unknown,cluster4
'bandar menjalara',1150000,3,3,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster2
'mont kiara',2550000,3,4,'Serviced Residence',Built-up,2305,'Partly Furnished',cluster5
'mont kiara',1700000,4,4,Condominium,Built-up,2073,'Partly Furnished',cluster5
'mont kiara',1000000,2,2,'Serviced Residence',Built-up,926,'Fully Furnished',cluster1
'mont kiara',11900000,7,7,Bungalow,'Land area',9700,'Fully Furnished',cluster3
'mont kiara',1800000,4,4,Condominium,Built-up,2070,'Fully Furnished',cluster5
'mont kiara',2100000,4,4,Condominium,Built-up,2092,'Fully Furnished',cluster5
ampang,600000,2,2,'Serviced Residence',Built-up,850,'Partly Furnished',cluster1
setapak,435000,3,2,Condominium,'Land area',1232,'Partly Furnished',cluster2
'mont kiara',1100000,4,4,Condominium,Built-up,2036,'Fully Furnished',cluster5
sentul,950000,3,3,Condominium,Built-up,999,'Fully Furnished',cluster2
'damansara heights',370000,1,1,'Serviced Residence','Land area',520,'Fully Furnished',cluster1
'taman desa',470000,3,2,Condominium,Built-up,1210,'Partly Furnished',cluster2
'bukit bintang',1520000,2,2,Condominium,Built-up,1468,'Fully Furnished',cluster1
'mont kiara',900000,4,3,Condominium,Built-up,1561,'Fully Furnished',cluster2
klcc,3497000,6,6,Condominium,Built-up,4503,'Partly Furnished',cluster4
dutamas,850000,4,2,Condominium,Built-up,1467,'Fully Furnished',cluster2
klcc,1207680,4,4,Condominium,Built-up,1776,'Fully Furnished',cluster5
klcc,1925000,3,2,'Serviced Residence',Built-up,1426,'Fully Furnished',cluster2
bangsar,1650000,4,3,'Terrace/Link House',Built-up,1700,'Partly Furnished',cluster5
'bukit bintang',2352600,2,2,'Serviced Residence',Built-up,1307,'Fully Furnished',cluster1
'ampang hilir',3110000,5,4,Condominium,Built-up,3562,'Partly Furnished',cluster4
klcc,1500000,4,4,Condominium,Built-up,2098,'Partly Furnished',cluster5
'bukit bintang',3800000,4,3,'Serviced Residence',Built-up,2405,'Partly Furnished',cluster5
klcc,3941000,6,5,Condominium,Built-up,3941,'Partly Furnished',cluster4
klcc,2800000,5,4,Condominium,Built-up,3218,'Partly Furnished',cluster4
bangsar,730000,1,1,'Serviced Residence',Built-up,775,'Fully Furnished',cluster1
klcc,2600000,1,1,'Serviced Residence',Built-up,1051,'Fully Furnished',cluster1
bangsar,3380000,5,5,'Terrace/Link House',Built-up,4100,'Fully Furnished',cluster4
'ampang hilir',3000000,4,3,Condominium,Built-up,4521,'Fully Furnished',cluster4
klcc,3095100,4,5,Condominium,Built-up,3439,'Partly Furnished',cluster4
klcc,2790000,4,5,Condominium,Built-up,3100,'Fully Furnished',cluster4
klcc,3600000,5,3,'Serviced Residence',Built-up,3897,'Partly Furnished',cluster4
'kl sentral',2050000,3,2,'Serviced Residence',Built-up,1485,'Partly Furnished',cluster2
klcc,3993000,5,4,'Serviced Residence',Built-up,2420,'Fully Furnished',cluster4
'bukit bintang',8800000,5,4,'Serviced Residence',Built-up,4157,'Partly Furnished',cluster6
'mont kiara',1120000,5,3,'Serviced Residence',Built-up,1650,'Fully Furnished',cluster5
klcc,1650000,1,1,'Serviced Residence',Built-up,925,'Fully Furnished',cluster1
ampang,4340000,6,7,Condominium,Built-up,6026,'Partly Furnished',cluster6
ampang,2245000,5,5,Condominium,Built-up,3118,'Partly Furnished',cluster4
klcc,2600000,3,3,Condominium,Built-up,1798,'Fully Furnished',cluster5
dutamas,1000000,1,1,Condominium,Built-up,900,'Fully Furnished',cluster1
'kuchai lama',1080000,4,4,Condominium,Built-up,2045,'Fully Furnished',cluster5
klcc,4570000,5,6,Condominium,Built-up,3973,'Fully Furnished',cluster4
klcc,2260000,3,3,Condominium,Built-up,1518,'Fully Furnished',cluster5
klcc,2210000,2,2,Condominium,Built-up,1464,'Fully Furnished',cluster1
'kuchai lama',500000,3,2,'Serviced Residence',Built-up,935,'Partly Furnished',cluster2
oug,1400000,4,4,'Terrace/Link House','Land area',3200,'Partly Furnished',cluster5
'bukit bintang',4761000,4,3,'Serviced Residence',Built-up,2645,'Fully Furnished',cluster4
seputeh,2200000,5,4,Condominium,Built-up,2900,'Fully Furnished',cluster5
'sri petaling',740000,5,3,'Terrace/Link House','Land area',880,Unfurnished,cluster2
klcc,3300000,4,3,Condominium,Built-up,3337,'Fully Furnished',cluster4
cheras,680000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster2
cheras,1400000,6,6,'Terrace/Link House','Land area',2380,'Partly Furnished',cluster5
'kuchai lama',2650000,5,6,'Semi-detached House',Built-up,3940,Unfurnished,cluster4
'kuchai lama',2800000,6,6,'Semi-detached House',Built-up,3940,Unfurnished,cluster4
'mont kiara',850000,3,2,Condominium,Built-up,1268,'Partly Furnished',cluster2
'mont kiara',1380000,4,3,Condominium,Built-up,1722,'Fully Furnished',cluster5
bangsar,2080000,4,2,Condominium,Built-up,2250,'Partly Furnished',cluster5
'mont kiara',650000,1,2,'Serviced Residence',Built-up,805,'Fully Furnished',cluster1
'mont kiara',950000,3,2,Condominium,Built-up,1122,'Partly Furnished',cluster2
'mont kiara',1250000,5,3,Condominium,Built-up,1609,'Partly Furnished',cluster5
'kl city',1200000,3,2,'Serviced Residence',Built-up,1101,'Fully Furnished',cluster2
'taman tun dr ismail',835000,2,2,'Serviced Residence',Built-up,876,'Partly Furnished',cluster1
'mont kiara',950000,3,2,Condominium,Built-up,1122,'Partly Furnished',cluster2
'bukit jalil',3900000,8,8,Bungalow,'Land area',8747,Unknown,cluster6
cheras,400000,3,2,Condominium,Built-up,1000,Unknown,cluster2
bangsar,7500000,6,5,Bungalow,'Land area',8000,'Fully Furnished',cluster6
'sungai besi',509999,3,2,Condominium,Built-up,1188,'Partly Furnished',cluster2
'sungai besi',529999,3,2,Condominium,Built-up,1139,'Fully Furnished',cluster2
'bukit jalil',425000,4,2,Condominium,Built-up,1087,'Partly Furnished',cluster2
cheras,730000,2,2,'Serviced Residence',Built-up,800,'Partly Furnished',cluster1
klcc,2420000,3,2,'Serviced Residence',Built-up,1270,'Partly Furnished',cluster2
klcc,1760000,1,1,'Serviced Residence',Built-up,925,'Partly Furnished',cluster1
ampang,2850000,6,6,Condominium,Built-up,3800,'Partly Furnished',cluster4
'mont kiara',780000,3,2,Condominium,Built-up,1268,Unknown,cluster2
ampang,2400000,6,6,Condominium,Built-up,3800,'Partly Furnished',cluster4
ampang,2880000,6,6,Condominium,Built-up,3541,'Partly Furnished',cluster4
kepong,1150000,5,2,'Terrace/Link House','Land area',2940,'Partly Furnished',cluster5
keramat,1092000,4,4,Condominium,Built-up,1790,'Partly Furnished',cluster5
cheras,430000,3,2,Condominium,Built-up,922,'Partly Furnished',cluster2
'desa parkcity',3490000,6,7,'Terrace/Link House','Land area',2400,'Partly Furnished',cluster4
'bukit jalil',460000,4,2,Condominium,Built-up,1450,'Partly Furnished',cluster2
'kl sentral',1053000,4,3,Condominium,Built-up,1528,Unknown,cluster2
'sungai besi',440000,2,2,Condominium,Built-up,855,Unfurnished,cluster1
'mont kiara',1890000,4,4,Condominium,Built-up,2648,'Fully Furnished',cluster5
'mont kiara',2000000,6,4,Condominium,Built-up,2594,'Fully Furnished',cluster5
'jalan ipoh',555000,2,2,Condominium,Built-up,840,'Fully Furnished',cluster1
'mont kiara',980000,3,2,Condominium,Built-up,1320,'Fully Furnished',cluster2
'mont kiara',1850000,7,8,Condominium,Built-up,3985,'Partly Furnished',cluster4
setapak,550000,3,2,Condominium,Built-up,1075,'Fully Furnished',cluster2
'mont kiara',1200000,4,3,Condominium,Built-up,1690,'Fully Furnished',cluster5
'mont kiara',1600000,4,4,Condominium,Built-up,2458,'Partly Furnished',cluster5
'mont kiara',900000,2,2,'Serviced Residence',Built-up,861,'Fully Furnished',cluster1
'city centre',1380000,1,2,'Serviced Residence',Built-up,1131,'Fully Furnished',cluster1
'mont kiara',840000,2,2,Condominium,Built-up,815,'Fully Furnished',cluster1
'mont kiara',680000,1,1,'Serviced Residence',Built-up,650,'Fully Furnished',cluster1
'mont kiara',1300000,4,3,Condominium,Built-up,1758,Unknown,cluster5
'mont kiara',610000,1,1,'Serviced Residence',Built-up,462,'Fully Furnished',cluster1
'sri hartamas',3900000,4,5,'Semi-detached House',Built-up,5230,'Fully Furnished',cluster4
'desa parkcity',2450000,4,5,'Terrace/Link House','Land area',1826,Unknown,cluster5
klcc,1380000,2,2,'Serviced Residence',Built-up,840,'Fully Furnished',cluster1
'desa parkcity',1600000,3,3,'Terrace/Link House',Built-up,1808,'Partly Furnished',cluster2
'desa parkcity',1100000,2,2,Condominium,Built-up,1087,'Partly Furnished',cluster1
'desa parkcity',1550000,4,3,Condominium,Built-up,1852,'Fully Furnished',cluster5
'desa parkcity',1100000,3,3,Condominium,Built-up,1378,'Partly Furnished',cluster2
'desa parkcity',1150000,3,2,Condominium,Built-up,1400,'Partly Furnished',cluster2
'desa parkcity',2300000,5,4,'Terrace/Link House',Built-up,2755,'Partly Furnished',cluster5
'desa parkcity',4700000,7,7,'Terrace/Link House',Built-up,6088,Unknown,cluster6
'desa parkcity',938000,2,2,'Terrace/Link House',Built-up,1100,'Partly Furnished',cluster1
'damansara heights',5300000,5,4,Bungalow,'Land area',7782,Unknown,cluster6
'desa parkcity',1900000,4,4,Condominium,Built-up,2100,Unknown,cluster5
'desa parkcity',1300000,3,2,Condominium,Built-up,1389,'Partly Furnished',cluster2
'desa parkcity',1850000,4,3,'Terrace/Link House',Built-up,2400,'Partly Furnished',cluster5
'damansara heights',5000000,5,4,'Semi-detached House','Land area',4500,'Fully Furnished',cluster4
'desa parkcity',4300000,6,5,'Terrace/Link House',Built-up,5448,Unknown,cluster4
'desa parkcity',4100000,6,5,'Terrace/Link House',Built-up,5448,'Partly Furnished',cluster4
'desa parkcity',5000000,6,6,'Semi-detached House','Land area',5500,Unknown,cluster6
'desa parkcity',1300000,4,4,Condominium,Built-up,1572,'Partly Furnished',cluster5
'desa parkcity',1450000,4,3,Condominium,Built-up,1680,'Partly Furnished',cluster5
'desa parkcity',1600000,4,4,Condominium,Built-up,1777,'Partly Furnished',cluster5
'desa parkcity',2800000,4,4,'Terrace/Link House',Built-up,3400,'Partly Furnished',cluster4
'desa parkcity',2388000,5,5,Condominium,Built-up,2454,Unknown,cluster5
'desa parkcity',3300000,6,5,'Terrace/Link House',Built-up,3656,Unknown,cluster4
'desa parkcity',2850000,4,4,'Terrace/Link House',Built-up,3211,Unknown,cluster4
'desa parkcity',1650000,4,3,'Terrace/Link House',Built-up,2000,'Partly Furnished',cluster5
bangsar,2200000,4,3,Condominium,Built-up,1965,'Partly Furnished',cluster5
'bukit tunku (kenny hills)',1300000,2,2,Condominium,Built-up,1800,'Fully Furnished',cluster1
bangsar,1900000,4,3,Condominium,Built-up,1926,Unknown,cluster5
'damansara heights',1100000,3,3,Condominium,Built-up,1388,'Partly Furnished',cluster2
'damansara heights',1390000,2,2,Condominium,Built-up,1295,Unknown,cluster1
cheras,435000,3,2,Condominium,'Land area',925,'Partly Furnished',cluster2
cheras,455000,3,2,Condominium,'Land area',925,'Fully Furnished',cluster2
cheras,448000,3,2,Condominium,'Land area',925,'Fully Furnished',cluster2
'city centre',1380000,1,2,'Serviced Residence','Land area',1131,'Fully Furnished',cluster1
'bukit jalil',530000,3,2,Apartment,Built-up,1100,'Partly Furnished',cluster2
'jalan kuching',550000,4,2,Condominium,Built-up,1170,'Fully Furnished',cluster2
'jalan klang lama (old klang road)',365000,3,2,'Serviced Residence',Built-up,950,'Fully Furnished',cluster2
'jalan klang lama (old klang road)',3688000,4,4,Condominium,Built-up,3635,Unfurnished,cluster4
'kl city',1650000,4,4,Condominium,Built-up,2500,Unknown,cluster5
pantai,8000000,5,4,Bungalow,'Land area',13186,Unfurnished,cluster3
cheras,799000,5,3,'Terrace/Link House','Land area',1560,'Partly Furnished',cluster5
'taman tun dr ismail',1350000,3,2,'Serviced Residence',Built-up,1690,'Fully Furnished',cluster2
cheras,850000,5,3,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster5
cheras,850000,5,3,'Terrace/Link House','Land area',1650,Unknown,cluster5
'kuchai lama',628000,4,4,Condominium,Built-up,1700,'Partly Furnished',cluster5
cheras,300000,3,2,Flat,Built-up,970,Unfurnished,cluster2
sentul,700000,3,3,Condominium,Built-up,999,'Fully Furnished',cluster2
sentul,1100000,4,5,Condominium,Built-up,1567,Unfurnished,cluster5
sentul,1080000,4,5,Condominium,Built-up,1567,'Partly Furnished',cluster5
cheras,356000,3,2,Condominium,Built-up,1012,Unknown,cluster2
cheras,320000,3,2,Apartment,Built-up,817,Unknown,cluster2
cheras,460000,3,2,Condominium,Built-up,910,Unknown,cluster2
cheras,280000,3,2,Apartment,Built-up,814,'Partly Furnished',cluster2
'bukit jalil',468000,3,2,Condominium,Built-up,1252,'Fully Furnished',cluster2
bangsar,3600000,4,4,Condominium,Built-up,3300,'Partly Furnished',cluster4
bangsar,6200000,4,5,Condominium,Built-up,4025,'Partly Furnished',cluster4
'wangsa maju',400000,3,2,Condominium,Built-up,1162,Unknown,cluster2
bangsar,10200000,6,7,Condominium,Built-up,6913,'Partly Furnished',cluster3
bangsar,3770000,4,4,Condominium,Built-up,3300,'Partly Furnished',cluster4
bangsar,220000,3,2,Apartment,Built-up,644,Unknown,cluster2
sentul,920000,3,3,Condominium,Built-up,1237,'Partly Furnished',cluster2
sentul,900000,3,3,Condominium,Built-up,1186,'Fully Furnished',cluster2
ampang,520000,2,2,Condominium,Built-up,1258,'Fully Furnished',cluster1
segambut,95000,3,2,Flat,Built-up,667,Unknown,cluster2
'damansara heights',3100000,5,4,'Semi-detached House','Land area',3670,'Partly Furnished',cluster4
'damansara heights',3400000,5,5,Condominium,Built-up,5000,'Partly Furnished',cluster4
bangsar,5000000,4,5,Condominium,Built-up,3600,'Partly Furnished',cluster4
'mont kiara',1260000,4,3,Condominium,Built-up,1638,'Fully Furnished',cluster5
klcc,1630000,3,3,Condominium,Built-up,2195,'Fully Furnished',cluster5
'mont kiara',1280000,4,3,Condominium,Built-up,1641,'Fully Furnished',cluster5
'mont kiara',1350000,2,2,'Serviced Residence',Built-up,932,'Fully Furnished',cluster1
'bandar menjalara',630000,4,3,Condominium,Built-up,1316,'Fully Furnished',cluster2
cheras,700000,2,2,'Serviced Residence',Built-up,814,'Partly Furnished',cluster1
'city centre',1800000,3,3,'Serviced Residence',Built-up,1453,'Partly Furnished',cluster2
'salak selatan',530000,2,2,'Serviced Residence',Built-up,845,'Fully Furnished',cluster1
ampang,697600,1,1,'Serviced Residence',Built-up,872,'Partly Furnished',cluster1
cheras,1000000,5,4,Condominium,Built-up,1608,'Partly Furnished',cluster5
brickfields,198000,3,2,Flat,Built-up,997,Unknown,cluster2
'jalan klang lama (old klang road)',770000,2,2,'Serviced Residence',Built-up,1148,'Partly Furnished',cluster1
'jalan klang lama (old klang road)',650000,2,2,'Serviced Residence',Built-up,911,'Partly Furnished',cluster1
'jalan klang lama (old klang road)',730000,3,2,'Serviced Residence',Built-up,1202,'Partly Furnished',cluster2
'jalan klang lama (old klang road)',716000,4,2,'Serviced Residence',Built-up,1094,'Partly Furnished',cluster2
ampang,3200000,6,6,'Semi-detached House',Built-up,5500,Unknown,cluster4
ampang,2380000,4,5,'Semi-detached House',Built-up,3696,'Partly Furnished',cluster4
ampang,1300000,7,7,'Terrace/Link House',Built-up,3600,Unknown,cluster4
ampang,1250000,7,7,'Terrace/Link House',Built-up,3600,Unknown,cluster4
pantai,850000,3,2,Condominium,Built-up,1253,'Partly Furnished',cluster2
'sri petaling',980000,5,4,'Terrace/Link House','Land area',1760,'Partly Furnished',cluster5
'kuchai lama',1150000,4,3,'Terrace/Link House','Land area',2200,'Partly Furnished',cluster5
'kuchai lama',1523000,7,6,Condominium,Built-up,2798,'Partly Furnished',cluster4
'kuchai lama',980000,4,4,Condominium,Built-up,1658,'Partly Furnished',cluster5
'kuchai lama',1000000,5,4,Condominium,Built-up,1711,'Partly Furnished',cluster5
'kuchai lama',810000,4,4,Condominium,Built-up,1477,'Partly Furnished',cluster5
'kuchai lama',860000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster2
'bukit bintang',795000,2,2,'Serviced Residence',Built-up,750,'Fully Furnished',cluster1
cheras,655000,4,3,'Terrace/Link House','Land area',1300,Unknown,cluster2
cheras,438000,3,2,Condominium,Built-up,1104,Unfurnished,cluster2
kepong,1500000,5,5,'Terrace/Link House','Land area',3840,'Fully Furnished',cluster4
kepong,585000,3,2,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster2
segambut,365000,3,2,Apartment,'Land area',837,'Partly Furnished',cluster2
'jalan kuching',1580000,3,2,Condominium,'Land area',1295,'Fully Furnished',cluster2
'sri hartamas',2750000,6,6,'Semi-detached House','Land area',4000,'Partly Furnished',cluster4
'sri hartamas',3300000,6,6,'Semi-detached House','Land area',4800,'Partly Furnished',cluster4
kepong,1200000,5,4,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster5
'damansara heights',3500000,5,3,'Semi-detached House','Land area',4860,'Partly Furnished',cluster4
'wangsa maju',1000000,5,3,Condominium,Built-up,1820,'Partly Furnished',cluster5
bangsar,1100000,3,3,Condominium,Built-up,2000,'Fully Furnished',cluster2
'jalan ipoh',1550000,5,4,'Terrace/Link House','Land area',6240,'Partly Furnished',cluster4
'bukit tunku (kenny hills)',1599000,3,3,Condominium,Built-up,2000,'Partly Furnished',cluster5
'taman tun dr ismail',910000,3,2,Condominium,Built-up,1474,'Partly Furnished',cluster2
cheras,980000,2,2,'Serviced Residence','Land area',883,'Partly Furnished',cluster1
'sungai besi',725000,3,2,Condominium,Built-up,1393,Unfurnished,cluster2
cheras,1400000,3,2,'Serviced Residence','Land area',1087,Unknown,cluster2
cheras,520000,4,2,Condominium,Built-up,1450,'Partly Furnished',cluster2
cheras,780000,3,2,Condominium,Built-up,1600,'Partly Furnished',cluster2
cheras,325000,1,1,'Serviced Residence',Built-up,610,'Fully Furnished',cluster1
cheras,420000,3,2,Condominium,Built-up,966,'Partly Furnished',cluster2
cheras,980000,5,4,'Semi-detached House','Land area',3200,'Partly Furnished',cluster5
'taman desa',600000,3,2,'Serviced Residence','Land area',935,'Fully Furnished',cluster2
'bukit tunku (kenny hills)',2200000,5,5,Condominium,Built-up,3287,'Fully Furnished',cluster4
'sri hartamas',3300000,5,4,Condominium,Built-up,3691,'Partly Furnished',cluster4
'sri hartamas',3816000,5,5,Condominium,Built-up,4240,'Partly Furnished',cluster4
'mont kiara',2686790,6,5,Condominium,Built-up,3401,'Partly Furnished',cluster4
bangsar,3658000,5,5,Condominium,Built-up,3658,'Partly Furnished',cluster4
'damansara heights',1398000,3,3,Condominium,Built-up,1292,'Partly Furnished',cluster2
'sri hartamas',7000000,6,6,Condominium,Built-up,9903,'Partly Furnished',cluster6
'damansara heights',2380000,4,4,Condominium,Built-up,3650,'Partly Furnished',cluster4
'damansara heights',1200000,4,3,Condominium,Built-up,1388,'Fully Furnished',cluster2
'sri hartamas',480000,1,1,'Serviced Residence',Built-up,609,'Fully Furnished',cluster1
'mont kiara',3050000,5,5,Condominium,Built-up,3137,'Partly Furnished',cluster4
'mont kiara',1000000,2,2,'Serviced Residence',Built-up,926,'Fully Furnished',cluster1
'bukit tunku (kenny hills)',1500000,4,3,Condominium,Built-up,1800,'Partly Furnished',cluster5
bangsar,7200000,4,4,Condominium,Built-up,4025,'Partly Furnished',cluster6
bangsar,7500000,4,4,Condominium,Built-up,4025,'Partly Furnished',cluster6
bangsar,1000000,3,2,Condominium,Built-up,1270,'Partly Furnished',cluster2
'mont kiara',2300000,5,4,Condominium,Built-up,2756,'Fully Furnished',cluster5
'bukit tunku (kenny hills)',1600000,4,4,Condominium,Built-up,2000,'Fully Furnished',cluster5
bangsar,8901000,5,5,Condominium,Built-up,4945,'Partly Furnished',cluster6
'bukit tunku (kenny hills)',1790000,4,4,Condominium,Built-up,2207,'Partly Furnished',cluster5
'damansara heights',1850000,4,4,Condominium,Built-up,1679,'Fully Furnished',cluster5
'damansara heights',1250000,3,3,Condominium,Built-up,1376,'Fully Furnished',cluster2
'damansara heights',1500000,4,4,Condominium,Built-up,1700,'Partly Furnished',cluster5
'damansara heights',1320000,4,4,'Serviced Residence',Built-up,1573,'Partly Furnished',cluster5
setapak,1100000,3,2,Condominium,Built-up,1442,'Partly Furnished',cluster2
setapak,881000,3,2,Condominium,Built-up,1442,'Partly Furnished',cluster2
setapak,475000,1,1,Condominium,Built-up,753,'Fully Furnished',cluster1
'sungai besi',480000,3,2,Condominium,Built-up,1042,'Partly Furnished',cluster2
'kl eco city',1250000,2,1,Condominium,Built-up,780,'Fully Furnished',cluster1
'sri petaling',360000,3,2,Condominium,Built-up,1017,'Fully Furnished',cluster2
'kl eco city',996000,2,1,Condominium,Built-up,797,Unknown,cluster1
'ampang hilir',522000,2,2,Condominium,Built-up,785,'Partly Furnished',cluster1
dutamas,480000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
dutamas,520000,3,2,Condominium,Built-up,1100,Unknown,cluster2
dutamas,550000,3,2,Condominium,Built-up,1100,'Fully Furnished',cluster2
'desa petaling',280000,3,2,Apartment,Built-up,826,'Partly Furnished',cluster2
cheras,960000,6,3,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster5
klcc,1500000,2,2,'Serviced Residence',Built-up,793,'Fully Furnished',cluster1
'mont kiara',1750000,5,4,Condominium,Built-up,2569,'Partly Furnished',cluster5
'taman melawati',3200000,5,6,Bungalow,'Land area',3150,'Fully Furnished',cluster4
cheras,565000,3,2,Condominium,'Land area',920,'Fully Furnished',cluster2
cheras,550000,3,2,Condominium,'Land area',920,'Fully Furnished',cluster2
cheras,4000000,6,6,'Semi-detached House','Land area',3400,'Partly Furnished',cluster4
ampang,6106500,1,1,'Residential Land','Land area',13500,Unfurnished,cluster6
ampang,2800000,1,1,Bungalow,'Land area',7000,Unfurnished,cluster4
cheras,635000,4,2,Apartment,'Land area',1476,'Partly Furnished',cluster2
cheras,530000,2,1,Condominium,'Land area',930,'Partly Furnished',cluster1
cheras,899000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished',cluster5
'mont kiara',664020,1,1,'Serviced Residence',Built-up,696,'Partly Furnished',cluster1
'bukit jalil',700000,4,2,Condominium,Built-up,1212,'Partly Furnished',cluster2
'bukit jalil',360000,3,2,Apartment,Built-up,810,Unfurnished,cluster2
'bukit bintang',350000,3,2,Apartment,Built-up,980,'Partly Furnished',cluster2
pantai,600000,2,2,Condominium,Built-up,1200,'Partly Furnished',cluster1
dutamas,580000,3,2,Condominium,Built-up,1450,'Partly Furnished',cluster2
klcc,1450000,2,2,Condominium,Built-up,1368,'Fully Furnished',cluster1
sentul,600000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
'bukit bintang',690000,2,2,Condominium,Built-up,1100,'Fully Furnished',cluster1
'jalan klang lama (old klang road)',350000,4,2,Apartment,Built-up,948,'Partly Furnished',cluster2
'kl city',500000,2,2,Condominium,Built-up,1000,'Partly Furnished',cluster1
bangsar,910000,3,2,Condominium,Built-up,1320,'Partly Furnished',cluster2
'damansara heights',620000,2,2,'Serviced Residence',Built-up,1000,'Fully Furnished',cluster1
bangsar,1050000,3,2,Condominium,Built-up,1112,'Fully Furnished',cluster2
'kl sentral',1250000,3,1,Condominium,Built-up,1118,'Fully Furnished',cluster2
klcc,1100000,2,2,'Serviced Residence',Built-up,1248,'Fully Furnished',cluster1
'mont kiara',690000,3,2,Condominium,Built-up,1260,'Partly Furnished',cluster2
'bukit bintang',620000,2,2,Condominium,Built-up,953,'Partly Furnished',cluster1
'kuchai lama',560000,3,2,Condominium,Built-up,1120,'Partly Furnished',cluster2
'bukit bintang',555000,3,2,Condominium,Built-up,1209,'Partly Furnished',cluster2
klcc,1150000,2,1,'Serviced Residence',Built-up,1164,'Partly Furnished',cluster1
klcc,1000000,3,2,'Serviced Residence',Built-up,1200,'Fully Furnished',cluster2
seputeh,690000,2,2,Condominium,Built-up,1044,'Partly Furnished',cluster1
'kl city',550000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
'ampang hilir',1127000,5,3,Condominium,Built-up,1818,'Fully Furnished',cluster5
klcc,1595000,3,2,'Serviced Residence',Built-up,1450,'Partly Furnished',cluster2
ampang,520000,3,2,Condominium,Built-up,1166,'Fully Furnished',cluster2
pantai,650000,3,2,Condominium,Built-up,1200,'Partly Furnished',cluster2
'jalan kuching',350000,3,2,Apartment,Built-up,903,'Fully Furnished',cluster2
bangsar,930000,3,2,Condominium,Built-up,1600,'Partly Furnished',cluster2
'jalan klang lama (old klang road)',480000,3,2,Flat,Built-up,1008,'Partly Furnished',cluster2
klcc,672000,1,1,'Serviced Residence',Built-up,640,'Fully Furnished',cluster1
sentul,700000,4,3,Condominium,Built-up,1345,'Partly Furnished',cluster2
pantai,440000,3,2,Condominium,Built-up,1030,'Partly Furnished',cluster2
'jalan ipoh',420000,3,2,'Serviced Residence',Built-up,1020,'Partly Furnished',cluster2
seputeh,590000,3,2,Condominium,Built-up,1076,'Fully Furnished',cluster2
'bangsar south',1630000,4,4,Condominium,Built-up,2068,'Fully Furnished',cluster5
'jalan ipoh',400000,3,2,Condominium,Built-up,1080,'Partly Furnished',cluster2
'ampang hilir',580000,3,2,Condominium,Built-up,1420,'Partly Furnished',cluster2
'ampang hilir',680000,3,2,Condominium,Built-up,1420,'Fully Furnished',cluster2
'sungai besi',350000,3,2,Apartment,Built-up,818,'Partly Furnished',cluster2
pantai,400000,3,2,Condominium,Built-up,850,Unfurnished,cluster2
'taman desa',680000,3,2,Condominium,Built-up,1150,'Fully Furnished',cluster2
'kuchai lama',730000,4,2,Condominium,Built-up,1450,'Partly Furnished',cluster2
'kl city',780000,1,1,'Serviced Residence',Built-up,740,'Fully Furnished',cluster1
brickfields,630000,1,1,'Serviced Residence',Built-up,710,'Fully Furnished',cluster1
dutamas,460000,3,2,Condominium,Built-up,850,'Fully Furnished',cluster2
'jalan klang lama (old klang road)',280000,3,2,Apartment,Built-up,800,'Partly Furnished',cluster2
